trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 1, 'e': 0.022727272727272728}",25,16,17.459780107030802,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 1, 'e': 0.022222222222222223}",20,12,4.751316882112059,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 1, 'e': 0.021739130434782608}",20,4,26.865118201415793,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 1, 'e': 0.02127659574468085}",25,11,25.49639305603085,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 1, 'e': 0.020833333333333332}",20,11,13.884005827620726,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 1, 'e': 0.02040816326530612}",30,20,20.481837537530033,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 1, 'e': 0.02}",20,14,11.248382685542362,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 1, 'e': 0.0196078431372549}",25,7,29.02094149121659,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 1, 'e': 0.019230769230769232}",20,16,8.077264898109977,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 1, 'e': 0.018867924528301886}",20,16,7.534005615601002,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 1, 'e': 0.018518518518518517}",20,1,8.967214048595318,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
55,False,"{'a': 1, 'e': 0.01818181818181818}",20,10,15.960333931838242,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 1, 'e': 0.017857142857142856}",25,19,9.258823143786191,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 1, 'e': 0.017543859649122806}",20,9,-2.5152606205011305,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
58,False,"{'a': 1, 'e': 0.017241379310344827}",25,12,23.757998115491038,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 1, 'e': 0.01694915254237288}",20,13,12.224967565839513,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 1, 'e': 0.016666666666666666}",20,0,26.910837372864723,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 1, 'e': 0.01639344262295082}",25,7,27.972529124743776,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 1, 'e': 0.016129032258064516}",35,25,16.53704793122708,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
